Name,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Combined
Dadar Kirti,"Advocate Nivaran Chatterjee lives a wealthy lifestyle in a small town along with his wife, and three sons. His first son is married, while his second son, Kedarnath, who suffered a head injury, is a little senile, and his third so...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,advocate nivaran chatterjee live wealthy lifestyle small town along wife sons first son marry second son kedarnath suffer head injury little senile third nan
Delusion,A man who has just embezzled money from his company is driving through the Nevada desert. He picks up a pretty girl and her seemingly goofy boyfriend. The girl is a Las Vegas showgirl and the boyfriend turns out to be a profession...,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,man embezzle money company drive nevada desert pick pretty girl seemingly goofy boyfriend girl las vegas showgirl boyfriend turn profession boyfriend girlfriend relationship professional murderer las vegas nevada showgirl money
The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,siblings become increasingly frighten grandparents disturb behavior visit vacation handheld camera mockumentary farm skype grandmother granddaughter relationship
The Falls,The Falls is a feature film about two missionaries that fall in love while on their mission.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,fall feature film missionaries fall love mission missionary oregon gay mormon mormon missionary gay interest
Fatso,"An overweight bachelor is fat, 40 and fed up--to the gills--but when his obese cousin Sal dies at 39, he must finally come to terms with his own weight problem.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,overweight bachelor fat feed gills obese cousin sal die must finally come term weight problem fat sham actor director actor writer director writer open casket
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,"The story of America as seen through the eyes of the former Secretary of Defense under President John F. Kennedy and President Lyndon B. Johnson, Robert McNamara.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,story america see eye former secretary defense president john f kennedy president lyndon b johnson robert mcnamara secretary defense interview vietnam cold war political superpower
Friday the 13th,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,group camp counselors try reopen summer camp call crystal lake grim past stalk mysterious killer summer serial killer summer camp slasher first series
Hangar 18,"After a UFO crashes in Arizona, due to a space collision with a NASA satellite launch, the U.S. government tries to cover-up the incident for political reasons.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ufo crash arizona due space collision nasa satellite launch u government try cover incident political reason nasa space sci fi arizona desert desert arizona
Hero at Large,"A struggling actor buying milk stops a robbery while wearing a superhero uniform, promoting a movie. The unknown hero decides to try again. Can he impress his cute neighbor?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,struggle actor buy milk stop robbery wear superhero uniform promote movie unknown hero decide try impress cute neighbor bare chested male hairy chest non comic book superhero injury gun
Heart Beat,"The life and friendship between the icons of the Beat Generation - Neal Cassady, Carolyn Cassady and Jack Kerouac.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,life friendship icons beat generation neal cassady carolyn cassady jack kerouac beatnik marijuana red wine suburbia cigar smoke
Heerak Rajar Deshe,The musical duo of Goopi and Bagha make a comeback when they are invited to play for a king.,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,musical duo goopi bagha make comeback invite play king kingdom king musician scientist diamond
He Knows You're Alone,"A young bride-to-be is being stalked upon by a serial killer in Staten Island. She gets help from a former lover, but will they manage to escape?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,young bride stalk upon serial killer staten island get help former lover manage escape serial killer slasher low budget film man murder woman stab woman
The Hit,"Ten years after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,years rat old mobster friends exchange personal immunity hit men drive harden criminal paris execution way whatever go wrong go wrong road movie neo noir mortality revenge trial
Humanoids from the Deep,"Humanoid sea creatures start killing a fishing town's residents, and raping their women. It's up to the townsfolk and a visiting biologist to fight back and fend them off.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,humanoid sea creatures start kill fish towns residents rap women townsfolk visit biologist fight back fend title direct female female nudity rape fish village bigot
Inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robert langdon wake italian hospital amnesia team dr sienna brook race europe together clock foil deadly global plot amnesia church museum police virus
It's My Turn,"A successful but stressed mathematics professor goes to her father's wedding and falls in love with her father's bride's son, a prematurely retired pro baseball player. She must choose between him and her current boyfriend, betwee...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,successful stress mathematics professor go father wed fall love father brides son prematurely retire pro baseball player must choose current boyfriend betwee title direct female title write female female director female filmmaker wed
Karz,Ravi is killed by his wife after his marriage. He is reborn as Monty and is now a singer he goes to holiday in Ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wif...,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,ravi kill wife marriage reborn monty singer go holiday ooty recollect memories previous life inquire family first life evil wif estate singer wig villainess vengeance
Khubsoorat,A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,strict matriarchs regiment household upend arrival spunky relative challenge rule doctor liberty dance card play discipline
Ladies Choice,"Male exotic entertainers find themselves in a bind after taking on a side job outside of their normal club which escalates into sex, lies, and a race against time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,male exotic entertainers find bind take side job outside normal club escalate sex lie race time male nudity male rear nudity male stripper sex scene male butt crack
Le dernier métro,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,occupy paris actress marry jewish theater owner must keep hide nazis job jew gestapo hideout world war french resistance
The Last Witness,An ambitious young journalist uncovers the horrific slaughter of twenty-two thousand Polish officers during World War II. A secret that has been kept hidden for far too many years.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,ambitious young journalist uncover horrific slaughter twenty thousand polish officer world war ii secret keep hide far many years voice narration western post newspaper polish hostel somerset england soviet invasion poland kiss
The Magician of Lublin,"Yasha is a Jewish stage magician who tours through eastern Europe while destroying his career through personal problems. He has one more chance at theatrical success, but he needs to do a brand new trick in a Warsaw theater.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yasha jewish stage magician tour eastern europe destroy career personal problems chance theatrical success need brand new trick warsaw theater female full frontal nudity female frontal nudity female nudity female rear nudity stage magician
Älskande par,Three expectant mothers think back over their sex lives.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,expectant mother think back sex live man wear womens clothe timeframe homosexual baby artist
The Man with Bogart's Face,"In contemporary Hollywood, private investigator Sam Marlow gets plastic surgery to look like Humphrey Bogart and solves various cases just like Bogart's silver-screen detective characters from the 1940s.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,contemporary hollywood private investigator sam marlow get plastic surgery look like humphrey bogart solve various case like bogarts silver screen detective character private detective secretary reference humphrey bogart los angeles california
Midnight Madness,Leon picks college students to participate in his all night scavenger hunt. Five teams receive clues to solve leading them to the next clue site hidden in the city.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,leon pick college students participate night scavenger hunt team receive clue solve lead next clue site hide city hare krishna psychotronic film motor vehicle chevrolet chevrolet motor vehicle
The Over-Mountain Men: The Price of Freedom,"It is 1771, and the oppressed Regulators take the risk, and stand against Governor Tryon. The repercussions are more than anyone anticipated. The Price of Freedom follows Pastor Tidence Lane and a group of Regulators as they retre...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,oppress regulators take risk stand governor tryon repercussions anyone anticipate price freedom follow pastor tidence lane group regulators retre historical event
My Sex Doll Bodyguard,"It all starts when 'Brick' receives a mysterious package. Inside the box is 'Anna', a sex doll AI system that can develop herself into a human being. Brick now has to sleep with eager Anna to test her functionality, or else he wil...",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,start brick receive mysterious package inside box anna sex doll ai system develop human brick sleep eager anna test functionality else wil nan
The Mirror Crack'd,Miss Jane Marple comes to solve the mystery when a local woman is poisoned and a visiting movie star seems to have been the intended victim.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,miss jane marple come solve mystery local woman poison visit movie star seem intend victim woman murder woman murder amateur sleuth strong female lead strong female character
Nightkill,"A woman's lover poisons her cruel husband, a rich businessman, in front of her. She becomes more terrified when she finds the lover dead as well. A police detective suddenly shows up at her door.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,womans lover poison cruel husband rich businessman front become terrify find lover dead well police detective suddenly show door husband wife relationship murder shower deception marriage arizona desert
Fujimi nichoume koukyou gakudan shirîzu: Kanrei zensen kondakutâ,"Yuki Morimura is by all accounts a disappointment. The only thing the substitute teacher has going for him is that he is the concertmaster of an amateur orchestra. To the shock of the Orchestra, music prodigy Kei Tonoin has been r...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yuki morimura account disappointment thing substitute teacher go concertmaster amateur orchestra shock orchestra music prodigy kei tonoin r gay
Permanent Vacation,"In this outlandish black comedy, mild-mannered Eric takes his wife and children on what he believes will be a final happy holiday before his kids leave the nest, but instead he is is thrust into a world of sexual decadence, headle...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,outlandish black comedy mild mannered eric take wife children believe final happy holiday kid leave nest instead thrust world sexual decadence headle vacation go wrong dark comedy immaculate conception insatiable vacation cabin
Out of the Blue,"Connor, a man whose dull life is transformed into a thrilling fantasy world thanks to the seductive Marilyn.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,connor man whose dull life transform thrill fantasy world thank seductive marilyn adulterous wife unfaithful wife cheat wife sex scene outdoor sex
Palermo oder Wolfsburg,"An impoverished young man from Sicily travels to Wolfsburg, West Germany to find work. He takes a job in the Volkswagen factory after he travels through Northern Italy by train.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,impoverish young man sicily travel wolfsburg west germany find work take job volkswagen factory travel northern italy train new german cinema italian abroad courtroom stab death girlfriend
Playing Minecraft for the first time in a decade,Cybershell streams Minecraft (2009).,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cybershell stream minecraft nan
Rude Boy,A young British punk and roadie for The Clash navigates life in socially torn 1970s England.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,young british punk roadie clash navigate life socially tear england timeframe roadie england british renaissance concert footage
Nasvidenje v naslednji vojni,"The two enemies from war, Slovenian partisan Berk and German soldier Bitter, meet each other during holidays in Spain. Recalling the war through conversation, Berk remembers Anton, his fellow comrade he had spend the most time with.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,enemies war slovenian partisan berk german soldier bitter meet holiday spain recall war conversation berk remember anton fellow comrade spend time sex scene storytelling nazi occupy slovenia nazi occupy yugoslavia former enemies
Saturn 3,Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight foot robot.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,lovers station remote base asteroid field saturn intrude upon retentive technocrat earth charge malevolent foot robot psychopath infatuation woman wear towel asteroid robot sci fi
A Small Circle of Friends,"Harvard in the 60's: a time of social upheaval and student unrest. Three students bond together, challenge the system, and begin to lose their ideals.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,harvard time social upheaval student unrest students bond together challenge system begin lose ideals love triangle anti war protest rekindle old flame cuckold husband
Solo Sunny,"Sunny is a singer in a band which is constantly on the road. She therefore leads a relatively restless life, which she cannot afford to give up, having to rely on the fee she gets paid..",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,sunny singer band constantly road therefore lead relatively restless life cannot afford give rely fee get pay taxi driver band philosopher east berlin east germany makeup
Times Square,Two ill-matched teenage girls form a punk band and soon have New York City by its ears.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ill match teenage girls form punk band soon new york city ears teenage girl time square manhattan new york city teensploitation overact listen radio
La terraza,"Adapted from a story by Beatriz Guido. A group of young people from high society are enclosed, for fun, on a terrace in a charming building in Buenos Aires. His parents try to get them out, but young people threaten to jump into t...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,adapt story beatriz guido group young people high society enclose fun terrace charm build buenos air parent try get young people threaten jump nan
Virus,"After an experiment gone wrong, a virus that turns people into zombies spreads throughout New Guinea. A female reporter and her cameraman, and a team of four commandos sent to investigate try to survive the onslaught.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,experiment go wrong virus turn people zombies spread throughout new guinea female reporter cameraman team commandos send investigate try survive onslaught zombie female nudity papua new guinea italian horror zombie apocalypse
Where the Buffalo Roam,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,semi biographical film base experience gonzo journalist hunter thompson gonzo journalist hotel room super bowl journalism presidential election
"The man they called a young genius, master swordsmith Yoshikazu Yoshihara","At the age of 36, Yoshikazu Yoshihara was pronounced the youngest to receive the highest level of swordsmith mastery. He was known for his blade style referred to as Kawazukochouji, which fascinated fans throughout the world. Docu...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,age yoshikazu yoshihara pronounce youngest receive highest level swordsmith mastery know blade style refer kawazukochouji fascinate fan throughout world docu nan
Windows on the World,"After watching the news on 9/11 with his family, Fernando travels from Mexico to New York City to find his father, an undocumented worker at the World Trade Center's famous Windows on the World restaurant.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,watch news family fernando travel mexico new york city find father undocumented worker world trade center famous windows world restaurant worker sex scene brief female rear nudity female rear nudity
Cardiac Arrest,"A serial killer is plaguing San Francisco, surgically removing the hearts of his victims. Assigned to the case is a weak-stomached homicide detective who investigates the possibility of black market organ transplants.",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,serial killer plague san francisco surgically remove hearts victims assign case weak stomach homicide detective investigate possibility black market organ transplant heart transplant slasher murder heart serial killer
In Search of Historic Jesus,This examination of historical sources speculates on the accuracy of the biblical depiction of Jesus.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,examination historical source speculate accuracy biblical depiction jesus reference jesus christ psychotronic film biblical crucifixion jesus reenactment
2001: A Space Odyssey,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,uncover mysterious artifact bury beneath lunar surface spacecraft send jupiter find origins spacecraft man men supercomputer h l monolith human versus computer star child famous line computer
Defiance,"When a boy's father is slain by the town's most powerful man because he's not willing to pay his dues, he devotes his life to avenging his father's death.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,boys father slay towns powerful man hes pay dues devote life avenge father death father
The Changeling,"Desperate to break her engagement to a man she does not love, Beatrice enlists the help of the servant De Flores.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,desperate break engagement man love beatrice enlist help servant de flores base play
Kenny Rogers as The Gambler,"The adventures of Brady Hawkes, a gambler on his way to help his young son while also helping another gambler learn to play it right.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,adventure brady hawk gambler way help young son help another gambler learn play right end freeze frame gambler gamble train father son relationship
The Hollywood Knights,"Led by their comedic leader, Turk, the Hollywood Knights car club raise hell throughout Beverly Hills on Halloween Night, 1965.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lead comedic leader turk hollywood knight car club raise hell throughout beverly hill halloween night grindhouse film cruise cheerleader fart joke moon
The Happy Hooker Goes Hollywood,A prostitute writes a bestseller book about her profession which attracts the attention of a studio executive who attempts to adapt it into a movie. They have a falling off and she decides to make the film on her own despite sabot...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prostitute write bestseller book profession attract attention studio executive attempt adapt movie fall decide make film despite sabot graumans chinese theatre los angeles sex comedy brown derby restaurant variety newspaper scantily clothe female
Animalympics,The animal kingdom stages its own olympic games.,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,animal kingdom stag olympic game anthropomorphic animal cleavage anthropomorphism full moon
Middle Age Crazy,A married man is turning forty and that's when the midlife crisis hits him. He becomes obsessed with young women and fast cars.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,marry man turn forty thats midlife crisis hit become obsess young women fast cars midlife crisis teenage girl unfaithfulness infidelity sex
The Kidnapping of the President,"Based on the novel by Charles Templeton, a secret service chief leads a game of cat and mouse when a gang of third-world terrorists kidnap the President.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,base novel charles templeton secret service chief lead game cat mouse gang third world terrorists kidnap president psychotronic film white house washington c cult cia central intelligence agency president
Phobia,"An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,agoraphobic young woman traumatize past events find trap terrorize home psychotronic film
The Octagon,A martial artist must defeat a plan by ninjas to create a worldwide training camp for terrorists.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,martial artist must defeat plan ninjas create worldwide train camp terrorists ninja ninja costume sex bed crime ring brother brother relationship
Coast to Coast,"A wealthy neurotic woman escapes from a New York mental asylum, and hitches a ride back to California with a moody down-on-his-luck cowboy trucker. They fall in love with each other while on the run from bounty hunters and a repo ...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,wealthy neurotic woman escape new york mental asylum hitch ride back california moody luck cowboy trucker fall love run bounty hunters repo manhunt hixploitation truck escape runaway
Touched by Love,"A young nurse becomes determined to reach an unresponsive teenage cerebral palsy patient by encouraging her to write to her favorite rock singer, Elvis Presley.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,young nurse become determine reach unresponsive teenage cerebral palsy patient encourage write favorite rock singer elvis presley reference elvis presley record album letter mailbox magazine
The Apple Dumpling Gang,Three orphan children strike gold in 1878 California.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,orphan children strike gold california bigfoot character blockbuster fruit title word title first part
You Better Watch Out,"A toy factory worker, mentally scarred as a child upon learning Santa Claus is not real, suffers a nervous breakdown after being belittled at work, and embarks on a Yuletide killing spree.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,toy factory worker mentally scar child upon learn santa claus real suffer nervous breakdown belittle work embark yuletide kill spree serial killer protagonist antagonist protagonist lift skirt child murder spree
The Visitor,"After a series of tragedies, Robert moves with his wife back to her childhood home. After he discovers an old portrait of a man who looks like him, he goes down a rabbit hole to discover the identity of this mysterious doppelganger.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,series tragedies robert move wife back childhood home discover old portrait man look like go rabbit hole discover identity mysterious doppelganger discover portrait small town demonic cult evil cult
The Three Musketeers,"Joined by an eager recruit to protect the King of France, three loyal swordsmen attempt to defeat an evil royal advisor and a seductive envoy plotting to overthrow the crown.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,join eager recruit protect king france loyal swordsmen attempt defeat evil royal advisor seductive envoy plot overthrow crown nan
The Spider's Web,"When an intruder is killed in her house, the comfortable life of Clarissa Hailsham-Browne is turned upside-down.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,intruder kill house comfortable life clarissa hailsham browne turn upside agatha christie base play
Around the World in 80 Days,"To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win bet eccentric british inventor chinese valet aspire french artist embark trip full adventure dangers around world exactly eighty days queen victoria many journey th century inventor
Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessels officer result street demonstration odessa bring police massacre imperial russian navy russian revolution year naval uniform brutality
City Lights,"Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,deepak singh farmer rajasthan tragedy migrate mumbai wife child lead better life upon arrive soon discover challenge life big city child
"Totò, Peppino e la... malafemmina",Two clumsy provincial uncles visit a metropolis to stop the relationship between their nephew and a woman of ill repute.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,clumsy provincial uncles visit metropolis stop relationship nephew woman ill repute italy brother nephew dancer train
It's a Mad Mad Mad Mad World,"A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each in a race across the state to get to it.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,group motorists witness car crash california desert drivers die word indicate location hide stash loot turn race state get car mountain road limousine driver vandalism letter w
